trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
227,False,"{'a': 0.6, 'e': 0.1033121800831002}",30,4,19.84485244602632,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.6, 'e': 0.10228420671553744}",30,9,31.68446186711173,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.6, 'e': 0.1012664618538834}",25,11,-18.52196609394338,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
230,False,"{'a': 0.6, 'e': 0.1002588437228037}",20,12,1.1985651131026025,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.6, 'e': 0.09926125155964566}",25,17,13.467414173629603,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.6, 'e': 0.09827358560436154}",30,17,14.181653334974122,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
233,False,"{'a': 0.6, 'e': 0.09729574708953276}",25,7,19.34761502641254,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.6, 'e': 0.09632763823049303}",25,9,13.109151818164023,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.6, 'e': 0.09536916221554961}",20,6,-57.584820603151776,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
236,False,"{'a': 0.6, 'e': 0.09442022319630235}",35,18,33.531631376492186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.6, 'e': 0.09348072627805847}",30,18,16.617493956152227,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.6, 'e': 0.09255057751034329}",20,8,2.238344237669309,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
239,False,"{'a': 0.6, 'e': 0.09162968387750484}",20,12,-0.24175530480576257,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
240,False,"{'a': 0.6, 'e': 0.09071795328941251}",30,7,29.264780010871263,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
241,False,"{'a': 0.6, 'e': 0.08981529457224763}",30,8,3.0440278025809224,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
242,False,"{'a': 0.6, 'e': 0.08892161745938634}",20,15,0.5589239593493796,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.6, 'e': 0.08803683258237255}",20,8,23.096396157485238,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.6, 'e': 0.0871608514619813}",30,13,28.414765500031688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.6, 'e': 0.0862935864993705}",20,13,-0.005538836406540071,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.6, 'e': 0.08543495096732123}",25,16,-15.248263114025995,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
247,False,"{'a': 0.6, 'e': 0.08458485900156469}",20,14,9.159977217904487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.6, 'e': 0.08374322559219596}",25,13,7.326035733381254,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.6, 'e': 0.08290996657517266}",20,14,12.190186621415101,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.6, 'e': 0.0820849986238988}",30,4,34.58123599632008,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.6, 'e': 0.08126823924089167}",25,17,16.683983045239916,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.6, 'e': 0.08045960674953244}",30,18,20.868326356621598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.6, 'e': 0.07965902028589801}",20,15,1.8650712849263822,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.6, 'e': 0.07886639979067495}",20,11,17.26492450300555,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.6, 'e': 0.07808166600115313}",30,18,24.06824381763269,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.6, 'e': 0.07730474044329974}",20,0,-10.21885558583766,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
257,False,"{'a': 0.6, 'e': 0.07653554542391151}",30,13,29.896550026970527,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.6, 'e': 0.07577400402284548}",25,0,34.653414085531764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
259,False,"{'a': 0.6, 'e': 0.07502004008532698}",30,22,15.240498844688448,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.6, 'e': 0.07427357821433388}",20,11,-65.03375874103975,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
261,False,"{'a': 0.6, 'e': 0.0735345437630571}",25,16,18.83093481876169,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.6, 'e': 0.07280286282743559}",30,18,-19.89598147518904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.6, 'e': 0.0720784622387661}",30,18,21.95818535989215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.6, 'e': 0.07136126955638605}",20,0,27.72113201624046,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.6, 'e': 0.0706512130604296}",30,13,29.534784001335314,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.6, 'e': 0.06994822174465536}",25,13,12.571356227685865,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.6, 'e': 0.069252225309346}",35,15,26.05776000914522,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.6, 'e': 0.06856315415427791}",25,14,21.80732949131703,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.6, 'e': 0.06788093937176144}",20,11,18.358726039160718,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.6, 'e': 0.06720551273974976}",20,8,10.203354185191907,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.6, 'e': 0.06653680671501686}",20,15,9.643526541629655,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.6, 'e': 0.06587475442640295}",20,9,17.292527871604786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.6, 'e': 0.06521928966812753}",30,17,23.8105233202317,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
